experiment&meanrPnPnuminliers&meanrPnPrerror&meanrPnPterror&meanfPnPnuminliers&meanfPnPrerror&meanfPnPterror&rPnPhighprec&fPnPhighprec&rPnPmediumprec&fPnPmediumprec&rPnPcoarseprec&fPnPcoarseprec\\ 
sobel\ sq	&571.2	&0.177	&1.180	&572.0	&0.156	&1.045	&12.0	&13.6	&31.4	&35.0	&99.4	&99.6	\\ 
np\ cauchy	&571.2	&0.177	&1.180	&573.3	&0.112	&0.779	&12.0	&24.4	&31.4	&48.2	&99.4	&100.0	\\ 
np\ huber	&571.2	&0.177	&1.180	&573.3	&0.111	&0.768	&12.0	&25.2	&31.4	&46.8	&99.4	&100.0	\\ 
np\ sq	&571.2	&0.177	&1.180	&573.3	&0.112	&0.769	&12.0	&25.0	&31.4	&46.8	&99.4	&100.0	\\ 
sobel\ cauchy	&571.2	&0.177	&1.180	&572.0	&0.155	&1.047	&12.0	&13.8	&31.4	&34.6	&99.4	&99.6	\\ 
sobel\ huber	&571.2	&0.177	&1.180	&572.0	&0.155	&1.045	&12.0	&13.4	&31.4	&35.0	&99.4	&99.6	\\ 
sobel\ gm	&571.2	&0.177	&1.180	&572.0	&0.155	&1.045	&12.0	&13.8	&31.4	&34.6	&99.4	&99.6	\\ 
np\ gm	&571.2	&0.177	&1.180	&573.3	&0.111	&0.773	&12.0	&24.4	&31.4	&48.0	&99.4	&100.0	\\ 
