experiment,mean_rPnP_num_inliers,mean_rPnP_rerror,mean_rPnP_terror,mean_fPnP_num_inliers,mean_fPnP_rerror,mean_fPnP_terror,rPnP_high_prec,fPnP_high_prec,rPnP_medium_prec,fPnP_medium_prec,rPnP_coarse_prec,fPnP_coarse_prec
retrieval_np_cauchy.npy,571.176,0.1768149558156729,1.179523477435112,573.322,0.10950369673967361,0.7694011688940227,0.12,0.246,0.314,0.48,0.994,0.998
retrieval_np_huber.npy,571.176,0.1768149558156729,1.179523477435112,573.278,0.11033132842183113,0.7713876004964113,0.12,0.256,0.314,0.484,0.994,0.998
retrieval_np_sq.npy,571.176,0.1768149558156729,1.179523477435112,573.312,0.11180850740522147,0.7686140183284879,0.12,0.25,0.314,0.468,0.994,1.0
retrieval_np_gm.npy,571.176,0.1768149558156729,1.179523477435112,573.236,0.1135555310845375,0.7869075516583398,0.12,0.242,0.314,0.478,0.994,0.998
