experiment,mean_rPnP_num_inliers,mean_rPnP_rerror,mean_rPnP_terror,mean_fPnP_num_inliers,mean_fPnP_rerror,mean_fPnP_terror,rPnP_high_prec,fPnP_high_prec,rPnP_medium_prec,fPnP_medium_prec,rPnP_coarse_prec,fPnP_coarse_prec
retrieval_sobel_sq.npy,571.176,0.1768149558156729,1.179523477435112,572.0,0.15554165296256542,1.0445240245196037,0.12,0.136,0.314,0.35,0.994,0.996
retrieval_np_cauchy.npy,571.176,0.1768149558156729,1.179523477435112,573.294,0.11234749561548232,0.7794700668212027,0.12,0.244,0.314,0.482,0.994,1.0
retrieval_np_huber.npy,571.176,0.1768149558156729,1.179523477435112,573.314,0.11149653554707765,0.7676233917102218,0.12,0.252,0.314,0.468,0.994,1.0
retrieval_np_sq.npy,571.176,0.1768149558156729,1.179523477435112,573.312,0.11181810740381479,0.7686126189604402,0.12,0.25,0.314,0.468,0.994,1.0
retrieval_sobel_cauchy.npy,571.176,0.1768149558156729,1.179523477435112,571.97,0.1550607597529888,1.0471640566615388,0.12,0.138,0.314,0.346,0.994,0.996
retrieval_sobel_huber.npy,571.176,0.1768149558156729,1.179523477435112,572.016,0.15531635969132185,1.0445953741329723,0.12,0.134,0.314,0.35,0.994,0.996
retrieval_sobel_gm.npy,571.176,0.1768149558156729,1.179523477435112,571.98,0.15485588562488556,1.0450955684804357,0.12,0.138,0.314,0.346,0.994,0.996
retrieval_np_gm.npy,571.176,0.1768149558156729,1.179523477435112,573.304,0.11135376293212175,0.7732300351150334,0.12,0.244,0.314,0.48,0.994,1.0
